Ref_300.ecore; 1945306435; 1.945306435
Ref_150.ecore; 1070147499; 1.070147499
Ref_370.ecore; 2753038644; 2.753038644
Ref_120.ecore; 914433329; 0.914433329
Ref_200.ecore; 1594068223; 1.594068223
Ref_1000.ecore; 9088913395; 9.088913395
Ref_420.ecore; 3613125628; 3.613125628
Ref_100.ecore; 981533263; 0.981533263
Attr_string_700.ecore; 5079773541; 5.079773541
Attr_string_300.ecore; 2399232457; 2.399232457
Ref_70.ecore; 547636437; 0.547636437
Ref_250.ecore; 2646035141; 2.646035141
Attr_string_170.ecore; 1172309963; 1.172309963
Attr_string_1000.ecore; 7832809471; 7.832809471
Attr_string_500.ecore; 3309833667; 3.309833667
Ref_170.ecore; 1672523454; 1.672523454
Attr_string_250.ecore; 2293113689; 2.293113689
Attr_string_100.ecore; 719238552; 0.719238552
Ref_50.ecore; 668949613; 0.668949613
Ref_20.ecore; 184724542; 0.184724542
Attr_string_150.ecore; 1040504815; 1.040504815
Attr_string_370.ecore; 2779177554; 2.779177554
Attr_string_50.ecore; 618121985; 0.618121985
Ref_500.ecore; 5397431838; 5.397431838
Attr_string_200.ecore; 1580367602; 1.580367602
Attr_string_420.ecore; 3379085388; 3.379085388
Attr_string_70.ecore; 522365993; 0.522365993
Ref_700.ecore; 7421309018; 7.421309018
Attr_string_120.ecore; 1051980342; 1.051980342
Attr_string_20.ecore; 237230866; 0.237230866
